Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,total_tests,total_recovered,active_cases,NewColumn
21-03-2020,Uttarakhand,30.0668,79.0193,3,0,0,2,0,0,6838458.0,782869.0,60.0,120.0
21-03-2020,West Bengal,22.9868,87.855,3,0,0,2,0,0,233473.0,32488.0,582.0,1164.0
22-03-2020,Andhra Pradesh,15.9129,79.74,5,0,0,2,0,0,9775981.0,569758.0,5760.0,11520.0
22-03-2020,Bihar,25.0961,85.3131,2,1,0,0,0,0,14051455.0,1899419.0,24466.0,48932.0
22-03-2020,Chandigarh,30.7333,76.7794,5,0,0,4,0,0,669421.0,71497.0,4331.0,8662.0
22-03-2020,Delhi,28.7041,77.1025,29,1,5,3,0,0,33846023.0,3941350.0,143434.0,286868.0
22-03-2020,Gujarat,22.2587,71.1924,18,1,0,11,0,0,549217.0,56761.0,459.0,918.0
22-03-2020,Haryana,29.0588,76.0856,21,0,0,4,0,0,604310.0,25506.0,1283.0,2566.0
22-03-2020,Himachal Pradesh,31.1048,77.1734,2,0,0,0,0,0,893980.0,13664.0,336.0,672.0
22-03-2020,Jammu and Kashmir,33.7782,76.5762,4,0,0,0,0,0,2303690.0,59491.0,58.0,116.0
22-03-2020,Karnataka,15.3173,75.7139,26,1,2,11,0,1,2705422.0,863665.0,20538.0,41076.0
22-03-2020,Ladakh,34.2996,78.2932,13,0,0,0,0,0,2026898.0,303026.0,608.0,1216.0
22-03-2020,Madhya Pradesh,22.9734,78.6569,4,0,0,0,0,0,63776166.0,29718402.0,298772.0,597544.0
22-03-2020,Odisha,20.9517,85.0985,2,0,0,0,0,0,717784.0,142788.0,1651.0,3302.0
22-03-2020,Puducherry,11.9416,79.8083,1,0,0,0,0,0,9924259.0,1014302.0,110157.0,220314.0
22-03-2020,Punjab,31.1471,75.3412,21,1,0,8,0,0,248995.0,20439.0,32.0,64.0
