Date,High,Low,Open,Close,Volume,Symbol
13-05-2021,308.86,302.77,306.08,305.26,18079200,Facebook
14-05-2021,316.85,309.08,309.54,315.94,19245700,Facebook
17-05-2021,315.68,311.58,313.55,315.46,15401300,Facebook
18-05-2021,316.5,309.81,315.59,309.96,14522400,Facebook
19-05-2021,314.66,303.57,304.19,313.59,19106200,Facebook
20-05-2021,319.25,313.16,313.58,318.61,17320200,Facebook
21-05-2021,319.93,315.81,319.29,316.23,13600900,Facebook
24-05-2021,325.95,318.03,318.21,324.63,16445400,Facebook
25-05-2021,329.18,324.8,327.08,327.79,16437000,Facebook
26-05-2021,329.83,325.82,328.35,327.66,9686900,Facebook
27-05-2021,333.78,326.76,328,332.75,20477700,Facebook
28-05-2021,332.87,328.33,331,328.73,12037400,Facebook
1/6/2021,331.42,326.64,330.15,329.13,11765900,Facebook
2/6/2021,331.87,327.12,330.38,329.15,11654300,Facebook
3/6/2021,327.38,323.48,325.78,326.04,12610800,Facebook
4/6/2021,332.46,325.18,325.9,330.35,13289400,Facebook
7/6/2021,337.69,328.93,329.48,336.58,20136700,Facebook
8/6/2021,338.3,332.24,336.7,333.68,14580500,Facebook
9/6/2021,336.8,330,335.74,330.25,13727900,Facebook
10/6/2021,333.94,328.55,330.79,332.46,13240200,Facebook
11/6/2021,332.83,328.93,332.58,331.26,13587900,Facebook
14-06-2021,336.82,329.81,331.9,336.77,12250800,Facebook
15-06-2021,339.92,335.03,336.99,336.75,15795200,Facebook
16-06-2021,337.55,328.72,336.7,331.08,17232200,Facebook
17-06-2021,337.98,330.15,330.49,336.51,17794100,Facebook
18-06-2021,336.15,329,334.53,329.66,23039500,Facebook
21-06-2021,332.92,327.65,331.09,332.29,11337500,Facebook
22-06-2021,339.92,332.6,332.69,339.03,15345300,Facebook
23-06-2021,343.42,338.2,339.35,340.59,14817800,Facebook
24-06-2021,344.9,341.79,341.85,343.18,12329100,Facebook
25-06-2021,344.12,339.68,342.59,341.37,14594400,Facebook
28-06-2021,358.14,341.77,342.46,355.64,29156100,Facebook
29-06-2021,356.74,349.05,356.27,351.89,21417300,Facebook
30-06-2021,352.92,347.17,352.17,347.71,15107500,Facebook
1/7/2021,354.67,346.5,346.82,354.39,17137000,Facebook
2/7/2021,356.44,352.62,355.1,354.7,11521300,Facebook
6/7/2021,358.79,349.18,356.5,352.78,13488500,Facebook
7/7/2021,356.49,350,355.26,350.49,14218900,Facebook
8/7/2021,348.33,342.56,345.73,345.65,14406500,Facebook
9/7/2021,350.71,345.27,345.32,350.42,13018700,Facebook
12/7/2021,354.19,349.64,351.23,353.16,10018600,Facebook
13-07-2021,358.49,348.8,351.5,352.09,11456000,Facebook
14-07-2021,355.2,346.73,354.56,347.63,13894200,Facebook
15-07-2021,349.23,340.22,349.23,344.46,14781600,Facebook
16-07-2021,345.99,340.14,344.91,341.16,11026100,Facebook
19-07-2021,339.79,334.54,337.57,336.95,14372300,Facebook
20-07-2021,343.45,334.5,338.8,341.66,11024300,Facebook
21-07-2021,346.52,341.25,341.5,346.23,9279700,Facebook
22-07-2021,351.54,345.21,346.68,351.19,12385400,Facebook
23-07-2021,375.33,357.19,360.91,369.79,33694300,Facebook
26-07-2021,374.44,368.22,369.58,372.46,14925200,Facebook
27-07-2021,373.15,364.55,371.91,367.81,15705400,Facebook
28-07-2021,377.55,366.93,374.56,373.28,29676900,Facebook
29-07-2021,365.52,356.74,361,358.32,33413200,Facebook
30-07-2021,360.73,352.94,354,356.3,15976200,Facebook
2/8/2021,359.4,350.74,358.1,351.95,13180400,Facebook
3/8/2021,353.77,347.7,352.73,351.24,12406100,Facebook
4/8/2021,360.48,351.51,352.42,358.92,14180600,Facebook
5/8/2021,363.9,356.9,359.64,362.97,10247200,Facebook
6/8/2021,365.15,361.4,361.4,363.51,8925000,Facebook
9/8/2021,365.78,360.75,363.76,361.61,7798900,Facebook
10/8/2021,364.1,359.04,361.83,361.13,7469900,Facebook
11/8/2021,362.36,357.81,362.1,359.96,8400300,Facebook
12/8/2021,363,357.11,358.45,362.65,7170700,Facebook
13-08-2021,364.66,361.48,362.97,363.18,7195700,Facebook
16-08-2021,366.95,357.38,362.52,366.56,11222100,Facebook
17-08-2021,364.67,355.07,362.98,358.45,12328700,Facebook
18-08-2021,359.86,355.15,356.25,355.45,10042400,Facebook
19-08-2021,357.57,351,351.35,355.12,12004500,Facebook
20-08-2021,359.99,353.31,354.6,359.37,8697700,Facebook
23-08-2021,365.69,359.1,359.44,363.35,10942000,Facebook
24-08-2021,367.96,361.84,363.66,365.51,9235100,Facebook
25-08-2021,370.86,365.4,365.6,368.39,9684500,Facebook
26-08-2021,369.44,364.13,368.38,364.38,7888700,Facebook
27-08-2021,373.74,364.08,365.1,372.63,11219100,Facebook
30-08-2021,381.49,370.52,372.56,380.66,13547300,Facebook
31-08-2021,382.76,378.8,379.95,379.38,12345400,Facebook
1/9/2021,384.33,378.81,379.59,382.05,11567200,Facebook
2/9/2021,381.75,374.06,381.5,375.28,14832900,Facebook
3/9/2021,377.16,373.11,374.75,376.26,7509600,Facebook
7/9/2021,382.96,373.15,375.88,382.18,10793800,Facebook
8/9/2021,380.87,374.79,380.16,377.57,11067200,Facebook
9/9/2021,379.83,376.57,377.64,378,9098900,Facebook
10/9/2021,383.79,378.26,381.36,378.69,11549600,Facebook
13-09-2021,381.75,374.35,381.68,376.51,13026300,Facebook
14-09-2021,378.59,375.11,377.4,376.53,8711600,Facebook
15-09-2021,377.56,367.67,377,373.92,17940300,Facebook
16-09-2021,373.56,369.71,372.79,373.06,11934200,Facebook
17-09-2021,371.41,361.59,371.41,364.72,26299000,Facebook
20-09-2021,361.03,349.8,359.3,355.7,19822800,Facebook
21-09-2021,360.04,355.19,358.5,357.48,11751900,Facebook
22-09-2021,349.84,340.69,347.23,343.21,43692900,Facebook
23-09-2021,349.67,343,345.36,345.96,21806300,Facebook
24-09-2021,354.35,342.37,343.24,352.96,18801900,Facebook
27-09-2021,355.15,347.08,349.81,353.58,15205800,Facebook
28-09-2021,349.6,338.92,347.97,340.65,21710300,Facebook
29-09-2021,345.23,338.88,343.15,339.61,14452200,Facebook
30-09-2021,342.8,338.15,340.45,339.39,16547100,Facebook
1/10/2021,345.02,338.64,341.61,343.01,14905300,Facebook
4/10/2021,335.94,322.7,335.53,326.23,42885000,Facebook
5/10/2021,335.18,326.16,328.58,332.96,35377900,Facebook
6/10/2021,334.38,325.8,329.74,333.64,26443000,Facebook
7/10/2021,338.84,328.98,337,329.22,28307500,Facebook
8/10/2021,333.4,328.71,331.51,330.05,15946100,Facebook
11/10/2021,330.46,325.31,327.63,325.45,14708200,Facebook
12/10/2021,324.38,317.37,323.03,323.77,31658700,Facebook
13-10-2021,327,322.66,326.97,324.54,14761500,Facebook
14-10-2021,330.52,327.1,328.36,328.53,14302200,Facebook
15-10-2021,329.07,322.51,328.68,324.76,21596400,Facebook
18-10-2021,335.89,327.5,328.95,335.34,21585000,Facebook
19-10-2021,342.46,337.28,339.65,339.99,18786300,Facebook
20-10-2021,343.98,339.45,343.45,340.78,13639500,Facebook
21-10-2021,342.31,337.8,340.28,341.88,16354400,Facebook
22-10-2021,329.63,321.11,326.35,324.61,35224500,Facebook
25-10-2021,329.56,319.72,320.3,328.69,38409000,Facebook
26-10-2021,330.21,309.6,328.26,315.81,65654000,Facebook
27-10-2021,319.25,312.06,314.19,312.22,29971800,Facebook
28-10-2021,325.52,308.11,312.99,316.92,50806800,Facebook
29-10-2021,326,319.6,320.19,323.57,37059400,Facebook
