Date,Open,High,Low,Close,Volume,Symbol
5/1/2021,86.63999939,86.63999939,83.68000031,85.87000275,1391000,INCY
6/1/2021,84.79000092,86,83.12000275,84.30999756,1562900,INCY
7/1/2021,85.06999969,90.54000092,84.26000214,90.05000305,1405600,INCY
8/1/2021,90.34999847,94,90.26000214,93.83000183,1458100,INCY
11/1/2021,93.23999786,93.76999664,92.05999756,93.31999969,924600,INCY
12/1/2021,93.09999847,95.43000031,93.08000183,94.30999756,988500,INCY
13/01/2021,94.33999634,94.5,92.19000244,92.73999786,971800,INCY
14/01/2021,93.40000153,93.58000183,91.69999695,92.04000092,1143400,INCY
15/01/2021,91.63999939,92.51999664,89.31999969,90.55999756,930100,INCY
19/01/2021,91.31999969,94.58999634,90.81999969,93.95999908,996000,INCY
20/01/2021,93.98000336,97.18000031,93.72000122,96.37000275,937000,INCY
21/01/2021,96.40000153,96.41000366,91.98000336,93.90000153,1173200,INCY
22/01/2021,94.12000275,98.44000244,94.04000092,97.88999939,1435200,INCY
25/01/2021,98.91000366,101.4700012,98.48999786,100.5,1352800,INCY
26/01/2021,100.2099991,101.3300018,98.25,99.38999939,931300,INCY
27/01/2021,98.04000092,99.37999725,92.44999695,93,1260700,INCY
28/01/2021,93.69999695,95.09999847,91.16999817,91.26999664,872800,INCY
29/01/2021,90.98999786,92.16000366,88.63999939,89.75,1396700,INCY
1/2/2021,90,91.40000153,89.34999847,90.91999817,995900,INCY
2/2/2021,92.09999847,94.19000244,91.41999817,93.05000305,1423800,INCY
3/2/2021,93,93.80999756,90.80000305,90.97000122,896000,INCY
4/2/2021,91.16000366,92.58999634,90.52999878,90.91000366,881100,INCY
5/2/2021,91.62999725,91.69999695,90,90.23999786,1315800,INCY
8/2/2021,91.08000183,93.70999908,90.09999847,93.62000275,1001400,INCY
9/2/2021,94.33999634,94.5,89.23999786,89.45999908,1360100,INCY
10/2/2021,87.5,88.13999939,84.08000183,85.16999817,2253800,INCY
11/2/2021,86.04000092,86.73000336,84.61000061,84.98999786,1066100,INCY
12/2/2021,84.98999786,85.19999695,83.19999695,84.33000183,1153800,INCY
16/02/2021,84.98999786,84.98999786,81.84999847,82.12999725,1520100,INCY
17/02/2021,82.05999756,84.05000305,80.5,83.76999664,1957500,INCY
18/02/2021,83.05000305,83.05000305,79.81999969,81.55000305,1939300,INCY
19/02/2021,82.01999664,82.48000336,80.31999969,80.54000092,1552400,INCY
22/02/2021,80.01999664,80.48999786,78.91000366,79.91999817,1750300,INCY
23/02/2021,79.16999817,79.65000153,76.69000244,79.01999664,2487400,INCY
24/02/2021,79.87999725,82.75,79.33999634,80.61000061,1858500,INCY
25/02/2021,79.84999847,80.63999939,77.73999786,78.44999695,1073300,INCY
26/02/2021,79.16999817,79.63999939,77.76999664,78.66000366,1691500,INCY
1/3/2021,79.73000336,80.25,79.01000214,79.62999725,788900,INCY
2/3/2021,79.15000153,79.56999969,78.51999664,78.55999756,799700,INCY
3/3/2021,78.33000183,78.58000183,75.55000305,76.01999664,1425100,INCY
4/3/2021,75.75,78.90000153,75.51999664,77.5,1797900,INCY
5/3/2021,77.59999847,80.75,76.55999756,80.26000214,1800500,INCY
8/3/2021,79.79000092,80.91999817,77.69999695,77.83999634,1273700,INCY
9/3/2021,79.69999695,80.87000275,79.01000214,79.11000061,1290300,INCY
10/3/2021,79.27999878,80.19000244,77.83999634,78.34999847,1136500,INCY
11/3/2021,78.91000366,80.48000336,78.91000366,79.48000336,909900,INCY
12/3/2021,78.83999634,79.16000366,77.5,79.01000214,815700,INCY
15/03/2021,79.48999786,80.83999634,78.70999908,80.65000153,830300,INCY
16/03/2021,81.37999725,81.51000214,79,80.27999878,789500,INCY
17/03/2021,78.79000092,81.08000183,77.77999878,80.19999695,1240100,INCY
18/03/2021,79.36000061,80.04000092,78.01000214,78.25,1263600,INCY
19/03/2021,79.73000336,81.22000122,78.38999939,79.37000275,2610300,INCY
22/03/2021,78.95999908,82.09999847,78.95999908,81.66999817,2270300,INCY
23/03/2021,81.55000305,81.75,79.44000244,79.84999847,1695900,INCY
24/03/2021,79.36000061,79.66999817,77.68000031,78.48000336,1310400,INCY
25/03/2021,78.91999817,79.94999695,77.38999939,79.77999878,1044600,INCY
26/03/2021,79.77999878,81.84999847,79.33999634,81.75,1105400,INCY
29/03/2021,81.36000061,82.23000336,80.36000061,81.09999847,913600,INCY
30/03/2021,80.61000061,80.61000061,78.94999695,80.23000336,1267300,INCY
31/03/2021,81.01000214,82.30000305,80.47000122,81.26999664,1096700,INCY
1/4/2021,81.56999969,83.12999725,80.27999878,83.01000214,1135700,INCY
5/4/2021,82.83000183,83.41000366,82.33999634,83.25,914400,INCY
6/4/2021,83,83.88999939,82.55000305,83.18000031,913600,INCY
7/4/2021,83.51000214,83.51000214,81.19000244,81.37999725,1434300,INCY
8/4/2021,82,82.61000061,80.13999939,80.83000183,1457800,INCY
9/4/2021,80.80999756,81.26999664,79.55999756,79.95999908,1329300,INCY
12/4/2021,80.63999939,80.75,78.44000244,79.87000275,1305100,INCY
13/04/2021,80,81.88999939,80,80.65000153,1399100,INCY
14/04/2021,80.65000153,83.22000122,80.54000092,82.20999908,1040600,INCY
15/04/2021,82.87000275,84.16999817,82.44000244,83.19999695,714000,INCY
16/04/2021,83.62000275,83.87000275,81.51999664,82.68000031,999000,INCY
19/04/2021,82.79000092,83.72000122,81.66999817,82.66999817,1037200,INCY
20/04/2021,82.90000153,84.63999939,82.90000153,84.56999969,735600,INCY
21/04/2021,84.45999908,84.84999847,83.81999969,84.72000122,766100,INCY
22/04/2021,84.5,84.5,82.84999847,84.18000031,1338200,INCY
23/04/2021,84.59999847,85.69999695,83.44000244,85.58000183,1081300,INCY
26/04/2021,85.47000122,86.22000122,84.72000122,85.61000061,759800,INCY
27/04/2021,86.02999878,86.33999634,84.38999939,84.62999725,677200,INCY
28/04/2021,84.26999664,85.26000214,83.94999695,84.88999939,707300,INCY
29/04/2021,84.94999695,85.15000153,84.01999664,84.88999939,770100,INCY
30/04/2021,84.5,85.81999969,84.30999756,85.37999725,1068500,INCY
3/5/2021,85.40000153,86.02999878,84.5,85.51999664,861100,INCY
4/5/2021,83.48999786,85.19000244,80.73000336,81.02999878,2450900,INCY
5/5/2021,81.76000214,83.12999725,81.19000244,81.27999878,1666100,INCY
6/5/2021,81.20999908,82.83000183,80.26999664,82.30999756,1523900,INCY
7/5/2021,82.48999786,84.26000214,82.12000275,82.73999786,1113100,INCY
10/5/2021,83,83.51000214,81.38999939,81.38999939,1865000,INCY
11/5/2021,80.31999969,81.5,79.41999817,80.63999939,2845600,INCY
12/5/2021,79.81999969,83.23999786,79.62999725,82.37000275,1262800,INCY
13/05/2021,82.48000336,83.58999634,81.86000061,83.23000336,960400,INCY
14/05/2021,83.75,83.75,82.55000305,82.62000275,889200,INCY
17/05/2021,82.47000122,83.87000275,81.91000366,82.26999664,1184300,INCY
18/05/2021,82.15000153,82.97000122,81.30999756,81.77999878,964400,INCY
19/05/2021,80.81999969,81.77999878,79.70999908,81.70999908,1050800,INCY
20/05/2021,81.80999756,84.51000214,81.48000336,83.51000214,834900,INCY
21/05/2021,83.98999786,84.48999786,82.62999725,82.76000214,829000,INCY
24/05/2021,83.69999695,83.98999786,82.79000092,82.91000366,827600,INCY
25/05/2021,82.95999908,83.76999664,82.12999725,82.68000031,851600,INCY
26/05/2021,82.86000061,83.58999634,82.44999695,83.16000366,775900,INCY
27/05/2021,83.08000183,83.08000183,81.61000061,82.68000031,993300,INCY
28/05/2021,83.44000244,84.23000336,82.61000061,83.77999878,956100,INCY
1/6/2021,84.12999725,84.41000366,82.38999939,82.88999939,938800,INCY
2/6/2021,82.87000275,83.37000275,82,82.26000214,969100,INCY
3/6/2021,82.44000244,83.12000275,81.45999908,82.90000153,1004400,INCY
4/6/2021,83.16999817,84.44999695,82.86000061,83.33000183,1017900,INCY
7/6/2021,83.48000336,85.79000092,83.04000092,85.11000061,1205700,INCY
8/6/2021,85.87999725,86.30000305,83.97000122,84.80999756,965800,INCY
9/6/2021,84.76999664,86.33999634,84.69000244,86.19999695,958500,INCY
10/6/2021,86.37999725,87.65000153,85.63999939,87.52999878,1030900,INCY
11/6/2021,84.66999817,85,81.05999756,82.58000183,2683100,INCY
14/06/2021,82.94000244,83.27999878,81.04000092,82.63999939,1437500,INCY
15/06/2021,82.55000305,83.27999878,82.26000214,82.76000214,1512600,INCY
16/06/2021,82.91000366,84.08000183,82.26999664,83.12000275,2064200,INCY
